Fecha;IPC
5/01/1999;32,59
5/02/1999;33,31
5/03/1999;33,35
5/04/1999;33,21
5/05/1999;33,17
5/06/1999;32,98
5/07/1999;32,89
5/08/1999;33,08
5/09/1999;33,13
5/10/1999;33,13
5/11/1999;33,35
5/12/1999;33,71
5/01/2000;34,51
5/02/2000;35,81
5/03/2000;36,70
5/04/2000;37,25
5/05/2000;37,21
5/06/2000;36,82
5/07/2000;36,18
5/08/2000;36,14
5/09/2000;36,22
5/10/2000;36,26
5/11/2000;36,35
5/12/2000;36,46
5/01/2001;37,31
5/02/2001;38,72
5/03/2001;39,46
5/04/2001;40,25
5/05/2001;40,52
5/06/2001;40,18
5/07/2001;40,06
5/08/2001;40,23
5/09/2001;40,49
5/10/2001;40,50
5/11/2001;40,41
5/12/2001;40,73
5/01/2002;41,33
5/02/2002;42,20
5/03/2002;42,41
5/04/2002;43,09
5/05/2002;43,81
5/06/2002;44,25
5/07/2002;43,99
5/08/2002;43,93
5/09/2002;44,30
5/10/2002;44,90
5/11/2002;45,70
5/12/2002;45,71
5/01/2003;46,18
5/02/2003;46,44
5/03/2003;46,93
5/04/2003;48,14
5/05/2003;48,47
5/06/2003;47,83
5/07/2003;47,33
5/08/2003;47,26
5/09/2003;47,11
5/10/2003;46,99
5/11/2003;47,32
5/12/2003;47,98
5/01/2004;48,60
5/02/2004;49,42
5/03/2004;50,10
5/04/2004;50,33
5/05/2004;50,64
5/06/2004;51,05
5/07/2004;50,57
5/08/2004;50,55
5/09/2004;50,78
5/10/2004;50,68
5/11/2004;50,73
5/12/2004;50,65
5/01/2005;51,34
5/02/2005;52,14
5/03/2005;52,92
5/04/2005;53,32
5/05/2005;53,78
5/06/2005;54,22
5/07/2005;54,04
5/08/2005;53,76
5/09/2005;54,15
5/10/2005;54,46
5/11/2005;54,34
5/12/2005;54,12
5/01/2006;54,61
5/02/2006;54,99
5/03/2006;55,70
5/04/2006;56,28
5/05/2006;56,60
5/06/2006;56,73
5/07/2006;57,04
5/08/2006;57,31
5/09/2006;57,46
5/10/2006;57,30
5/11/2006;57,23
5/12/2006;57,18
5/01/2007;57,76
5/02/2007;59,12
5/03/2007;60,94
5/04/2007;62,34
5/05/2007;62,60
5/06/2007;62,52
5/07/2007;62,34
5/08/2007;61,44
5/09/2007;61,38
5/10/2007;61,20
5/11/2007;61,67
5/12/2007;62,24
5/01/2008;63,44
5/02/2008;65,75
5/03/2008;66,35
5/04/2008;67,24
5/05/2008;69,04
5/06/2008;70,67
5/07/2008;71,26
5/08/2008;71,14
5/09/2008;70,01
5/10/2008;70,11
5/11/2008;70,48
5/12/2008;71,25
5/01/2009;71,94
5/02/2009;72,21
5/03/2009;72,30
5/04/2009;72,69
5/05/2009;72,60
5/06/2009;71,91
5/07/2009;71,31
5/08/2009;71,16
5/09/2009;70,63
5/10/2009;70,21
5/11/2009;69,73
5/12/2009;69,60
5/01/2010;70,09
5/02/2010;71,08
5/03/2010;71,53
5/04/2010;72,53
5/05/2010;72,39
5/06/2010;72,19
5/07/2010;71,79
5/08/2010;71,70
5/09/2010;71,08
5/10/2010;70,59
5/11/2010;70,80
5/12/2010;72,31
5/01/2011;73,53
5/02/2011;73,94
5/03/2011;73,96
5/04/2011;73,86
5/05/2011;74,55
5/06/2011;74,86
5/07/2011;75,11
5/08/2011;74,86
5/09/2011;75,28
5/10/2011;75,69
5/11/2011;75,60
5/12/2011;76,02
5/01/2012;76,85
5/02/2012;77,12
5/03/2012;76,91
5/04/2012;77,27
5/05/2012;77,72
5/06/2012;77,60
5/07/2012;77,45
5/08/2012;77,42
5/09/2012;77,50
5/10/2012;77,81
5/11/2012;77,19
5/12/2012;77,15
5/01/2013;77,41
5/02/2013;77,22
5/03/2013;77,39
5/04/2013;77,90
5/05/2013;78,03
5/06/2013;77,89
5/07/2013;78,09
5/08/2013;78,18
5/09/2013;78,51
5/10/2013;77,40
5/11/2013;76,81
5/12/2013;76,97
5/01/2014;77,62
5/02/2014;77,85
5/03/2014;78,45
5/04/2014;79,28
5/05/2014;80,51
5/06/2014;80,16
5/07/2014;80,57
5/08/2014;80,89
5/09/2014;81,07
5/10/2014;81,01
5/11/2014;81,03
5/12/2014;81,01
5/01/2015;82,47
5/02/2015;84,38
5/03/2015;85,60
5/04/2015;86,49
5/05/2015;86,09
5/06/2015;85,77
5/07/2015;85,57
5/08/2015;86,44
5/09/2015;87,92
5/10/2015;89,44
5/11/2015;90,51
5/12/2015;91,60
5/01/2016;94,63
5/02/2016;96,17
5/03/2016;98,00
5/04/2016;99,36
5/05/2016;99,80
5/06/2016;100,38
5/07/2016;101,77
5/08/2016;99,28
5/09/2016;97,80
5/10/2016;97,02
5/11/2016;97,01
5/12/2016;97,70
5/01/2017;98,97
5/02/2017;99,54
5/03/2017;99,43
5/04/2017;99,55
5/05/2017;99,54
5/06/2017;99,17
5/07/2017;99,11
5/08/2017;99,04
5/09/2017;98,37
5/10/2017;98,08
5/11/2017;98,08
5/12/2017;98,17
5/01/2018;99,34
5/02/2018;99,35
5/03/2018;99,37
5/04/2018;100,23
5/05/2018;100,31
5/06/2018;100,27
5/07/2018;99,40
5/08/2018;99,42
5/09/2018;99,82
5/10/2018;99,71
5/11/2018;99,66
5/12/2018;100,00
5/01/2019;101,40
5/02/2019;101,62
5/03/2019;102,59
5/04/2019;103,68
5/05/2019;104,36
5/06/2019;105,25
5/07/2019;105,94
5/08/2019;105,80
5/09/2019;106,29
5/10/2019;106,56
5/11/2019;106,07
5/12/2019;105,80
5/01/2020;106,60
5/02/2020;107,59
5/03/2020;109,97
5/04/2020;112,21
5/05/2020;112,26
5/06/2020;112,14
5/07/2020;111,24
5/08/2020;110,74
5/09/2020;110,69
