Fecha;IPC
5/01/2003;50,42
5/02/2003;50,98
5/03/2003;51,51
5/04/2003;52,10
5/05/2003;52,36
5/06/2003;52,33
5/07/2003;52,26
5/08/2003;52,42
5/09/2003;52,53
5/10/2003;52,56
5/11/2003;52,75
5/12/2003;53,07
5/01/2004;53,54
5/02/2004;54,18
5/03/2004;54,71
5/04/2004;54,96
5/05/2004;55,17
5/06/2004;55,51
5/07/2004;55,49
5/08/2004;55,51
5/09/2004;55,67
5/10/2004;55,66
5/11/2004;55,82
5/12/2004;55,99
5/01/2005;56,45
5/02/2005;57,02
5/03/2005;57,46
5/04/2005;57,72
5/05/2005;57,95
5/06/2005;58,18
5/07/2005;58,21
5/08/2005;58,21
5/09/2005;58,46
5/10/2005;58,60
5/11/2005;58,66
5/12/2005;58,70
5/01/2006;59,02
5/02/2006;59,41
5/03/2006;59,83
5/04/2006;60,09
5/05/2006;60,29
5/06/2006;60,48
5/07/2006;60,73
5/08/2006;60,96
5/09/2006;61,14
5/10/2006;61,05
5/11/2006;61,19
5/12/2006;61,33
5/01/2007;61,80
5/02/2007;62,53
5/03/2007;63,29
5/04/2007;63,85
5/05/2007;64,05
5/06/2007;64,12
5/07/2007;64,23
5/08/2007;64,14
5/09/2007;64,20
5/10/2007;64,20
5/11/2007;64,51
5/12/2007;64,82
5/01/2008;65,51
5/02/2008;66,50
5/03/2008;67,04
5/04/2008;67,51
5/05/2008;68,14
5/06/2008;68,73
5/07/2008;69,06
5/08/2008;69,19
5/09/2008;69,06
5/10/2008;69,30
5/11/2008;69,49
5/12/2008;69,80
5/01/2009;70,21
5/02/2009;70,80
5/03/2009;71,15
5/04/2009;71,38
5/05/2009;71,39
5/06/2009;71,35
5/07/2009;71,32
5/08/2009;71,35
5/09/2009;71,28
5/10/2009;71,19
5/11/2009;71,14
5/12/2009;71,20
5/01/2010;71,69
5/02/2010;72,28
5/03/2010;72,46
5/04/2010;72,79
5/05/2010;72,87
5/06/2010;72,95
5/07/2010;72,92
5/08/2010;73,00
5/09/2010;72,90
5/10/2010;72,84
5/11/2010;72,98
5/12/2010;73,45
5/01/2011;74,12
5/02/2011;74,57
5/03/2011;74,77
5/04/2011;74,86
5/05/2011;75,07
5/06/2011;75,31
5/07/2011;75,42
5/08/2011;75,39
5/09/2011;75,62
5/10/2011;75,77
5/11/2011;75,87
5/12/2011;76,19
5/01/2012;76,75
5/02/2012;77,22
5/03/2012;77,31
5/04/2012;77,42
5/05/2012;77,66
5/06/2012;77,72
5/07/2012;77,70
5/08/2012;77,73
5/09/2012;77,96
5/10/2012;78,08
5/11/2012;77,98
5/12/2012;78,05
5/01/2013;78,28
5/02/2013;78,63
5/03/2013;78,79
5/04/2013;78,99
5/05/2013;79,21
5/06/2013;79,39
5/07/2013;79,43
5/08/2013;79,50
5/09/2013;79,73
5/10/2013;79,52
5/11/2013;79,35
5/12/2013;79,56
5/01/2014;79,95
5/02/2014;80,45
5/03/2014;80,77
5/04/2014;81,14
5/05/2014;81,53
5/06/2014;81,61
5/07/2014;81,73
5/08/2014;81,90
5/09/2014;82,01
5/10/2014;82,14
5/11/2014;82,25
5/12/2014;82,47
5/01/2015;83,00
5/02/2015;83,96
5/03/2015;84,45
5/04/2015;84,90
5/05/2015;85,12
5/06/2015;85,21
5/07/2015;85,37
5/08/2015;85,78
5/09/2015;86,39
5/10/2015;86,98
5/11/2015;87,51
5/12/2015;88,05
5/01/2016;89,19
5/02/2016;90,33
5/03/2016;91,18
5/04/2016;91,63
5/05/2016;92,10
5/06/2016;92,54
5/07/2016;93,02
5/08/2016;92,73
5/09/2016;92,68
5/10/2016;92,62
5/11/2016;92,73
5/12/2016;93,11
5/01/2017;94,07
5/02/2017;95,01
5/03/2017;95,46
5/04/2017;95,91
5/05/2017;96,12
5/06/2017;96,23
5/07/2017;96,18
5/08/2017;96,32
5/09/2017;96,36
5/10/2017;96,37
5/11/2017;96,55
5/12/2017;96,92
5/01/2018;97,53
5/02/2018;98,22
5/03/2018;98,45
5/04/2018;98,91
5/05/2018;99,16
5/06/2018;99,31
5/07/2018;99,18
5/08/2018;99,30
5/09/2018;99,47
5/10/2018;99,59
5/11/2018;99,70
5/12/2018;100,00
5/01/2019;100,60
5/02/2019;101,18
5/03/2019;101,62
5/04/2019;102,12
5/05/2019;102,44
5/06/2019;102,71
5/07/2019;102,94
5/08/2019;103,03
5/09/2019;103,26
5/10/2019;103,43
5/11/2019;103,54
5/12/2019;103,80
5/01/2020;104,24
5/02/2020;104,94
5/03/2020;105,53
5/04/2020;105,70
5/05/2020;105,36
5/06/2020;104,97
5/07/2020;104,97
5/08/2020;104,96
5/09/2020;105,29
